name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Morphogenic Lattice,arondight_lattice,,,Special Acquisitions,arondight,Special,,,TRUE,,0,0,0,0,arondight.hullmods.MorphogenicLattice,"A fabricator matrix grown through the hull. It re-weaves the frame between forms and carries every woven enhancement. As far as any scanner can tell, the ship was always built this way. Active nodes are listed below.",Carries and lists the frame's woven nodes.,,graphics/arondight/icons/arondight_lattice.png
Durendal Frame,arondight_form_durendal,,,Special Acquisitions,arondight,Special,,,TRUE,,0,0,0,0,arondight.hullmods.DurendalFrame,"The first configuration the research cell certified, and the pattern for everything after it. Durendal anchors a line, holds ground other ships would abandon, and teaches its pilots calm. The name belongs to a sword that could not be broken.",Replaces the shield with a reflecting ward.,,graphics/arondight/icons/arondight_form.png
Hauteclere Frame,arondight_form_hauteclere,,,Special Acquisitions,arondight,Special,,,TRUE,,0,0,0,0,arondight.hullmods.HauteclereFrame,"Hauteclere is the duelist's cut of Durendal, rebuilt for pilots who would rather answer a blow than outlast it. The configuration has heavy demands of its pilots.",Half-second ward; a perfect parry reflects 2x.,,graphics/arondight/icons/arondight_form.png
Joyeuse Frame,arondight_form_joyeuse,,,Special Acquisitions,arondight,Special,,,TRUE,,0,0,0,0,arondight.hullmods.JoyeuseFrame,"The emperor's blade stood for peace, which the research cell read as an instruction about fortification. Joyeuse is the escort configuration: it puts itself between the convoy and the guns. Crews standing behind one learn to trust its defenses.",Full-circle ward that heals the frame as it blocks.,,graphics/arondight/icons/arondight_form.png
Longinus Frame,arondight_form_longinus,,,Special Acquisitions,arondight,Special,,,TRUE,,0,0,0,0,arondight.hullmods.LonginusFrame,"Longinus shoots from outside the battle. The configuration trades armor, speed, and every close-in consideration for reach, and its fire arrives without warning or apparent origin.

Every mounted weapon has 3x range.",Every weapon reaches 3x range.,,graphics/arondight/icons/arondight_form.png
Gae Bolg Frame,arondight_form_gaebolg,,,Special Acquisitions,arondight,Special,,,TRUE,,0,0,0,0,arondight.hullmods.GaeBolgFrame,"Named for a spear that killed whenever it was thrown, shots from Gae Bolg are decisive. It destroys fortified positions in single strikes, as long as those shots hit.

Every weapon deals 3x damage and has 2x range, but consumes double ammo and locks for 5 seconds after it fires. If there is insufficient ammo, the frame takes half of the weapon's damage. Destroying a ship removes the lock.",3x damage at 2x range; each weapon locks after firing; a kill clears it.,,graphics/arondight/icons/arondight_form.png
Rhongomyniad Frame,arondight_form_rhongomyniad,,,Special Acquisitions,arondight,Special,,,TRUE,,0,0,0,0,arondight.hullmods.RhongomyniadFrame,"The king's lance was a pillar before it was a weapon. Rhongomyniad is the siege configuration: it plants itself, aims at a single mark, and trusts its escorts to handle defense.

Every weapon has 2x range. Its arm is a continuous beam that ramps up to 4x damage over 6 seconds on a single target. Your top speed drops to 5%% while it fires, and switching targets resets the ramp.",Ramping beam damage at double range; anchors while firing.,,graphics/arondight/icons/arondight_form.png
Curtana Frame,arondight_form_curtana,,,Special Acquisitions,arondight,Special,,,TRUE,,0,0,0,0,arondight.hullmods.CurtanaFrame,"Curtana carries the sword of mercy, the blade with its point struck off, an edge that hardly cuts at all. Certified doctrine is to close, touch, and hold.

As long as its arm beam is hitting a ship's hull, that ship is slowed to 50%% timeflow.",The arm beam slows its target while it holds.,,graphics/arondight/icons/arondight_form.png
Clarent Frame,arondight_form_clarent,,,Special Acquisitions,arondight,Special,,,TRUE,,0,0,0,0,arondight.hullmods.ClarentFrame,"Clarent fights like Curtana with the mercy removed, and it returns from trials in better repair than it left. Targets are frozen in time instead of merely slowed.

As long as its arm beam is hitting a ship's hull, the beam's target is frozen, you vent flux twice as fast, weapon cooldowns are decreased by 50%%, and you drain 15 hull per second from the target.","Freezes its target; the frame vents faster, cycles faster, and leeches hull.",,graphics/arondight/icons/arondight_form.png
Fragarach Frame,arondight_form_fragarach,,,Special Acquisitions,arondight,Special,,,TRUE,,0,0,0,0,arondight.hullmods.FragarachFrame,"Fragarach is the squadron configuration. Wings flying with one are a half-step ahead of every exchange, and their sortie plans carry noticeably thin contingency annexes. Old Earth remembered the blade as the Answerer.

The beam becomes a radial pulse. When fired, enemy units within 800 units are slowed by 35%% for 4 seconds, and allies are sped up.",A radial pulse slows enemies and quickens allies.,,graphics/arondight/icons/arondight_form.png
Reclaimer Attenuation,arondight_boss_attenuation,,,,arondight,,,,TRUE,TRUE,0,0,0,0,arondight.hullmods.ReclaimerAttenuation,"Halves all damage the Reclaimer deals (arondight_boss_damage_mult via the six target-class stats; built into both boss hulls). Hidden, never a player surface.",,,graphics/arondight/icons/arondight_lattice.png
